Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Cost Variance ($ M),Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID,Column 24,Column 25,Column 26,Column 27,Column 28
010-000000319,674,10,Department of the Interior,"DOI - Incident Management, Analysis, and Reporting System (IMARS)",1165,,Stage 3 Core Records Management System Implementation,"Core implementation of IMARS to include Baseline Installation, Testing, Configuration, Evaluation, and Operational Readiness of IMARS primary Law Enforcement components.",03/03/2010,19/03/2013,30/08/2011,30/08/2011,2.045,0,0,0.045,10.34,0.435,0.39,24/07/2012,09:47:09,2,,,,,
010-000000368,676,10,Department of the Interior,DOI - National Fire Plan Operations and Reporting System (NFPORS),1177,,NFPORS 3.0,NFPORS 3.0 development.  Hardware and Software is included.  Significant changes will be made to the database design and user interface. Updated software environment for technical currency (ColdFusion 9 and SQLServer 2008) bringing the system into full IT security compliance.  Servers will be built to STIG standards.,01/10/2010,15/11/2011,30/09/2011,15/10/2011,0.436141,-15,-8.24,0.010539,12.97,0.081232,0.070693,27/02/2012,10:14:03,1,,,,,
010-999990382,683,10,Department of the Interior,E-DOI - Geospatial Line of Business (GeoLoB),2983,,A-16 Supplemental Guidance Phase I Implementation,Develop pilots to implement phase 1 of A-16 supplemental guidance.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,0.465,0,0,0.153992,33.12,0.465,0.311008,14/08/2012,11:35:13,GLoB-0003,,,,,
010-999990382,683,10,Department of the Interior,E-DOI - Geospatial Line of Business (GeoLoB),2984,,Support GeoPlatform Implementation,Collaborate with federal officials on development of full business case and ensure readiness for publishing services and applications to GeoPlatform.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,0.465,0,0,0.153456,33,0.465,0.311544,14/08/2012,11:35:13,GLoB-0004,,,,,
010-999990382,683,10,Department of the Interior,E-DOI - Geospatial Line of Business (GeoLoB),2985,,Implement Outreach and Communications Strategy,Implement communication strategy for GeoPlatform and A-16 supplement guidance.,03/10/2011,28/09/2012,19/09/2012,19/09/2012,0.465,0,0,0.154607,49.87,0.31,0.155393,14/08/2012,11:35:13,GLoB-0005,,,,,
010-000000355,862,10,Department of the Interior,DOI - Infrastructure - Security Management,1172,,Risk Management,This project focuses on a standardized way to manage and implement Certification & Accrediation and Continuous Monitoring Programs across DOI.,01/10/2011,30/09/2012,30/09/2012,30/09/2012,12.547182,0,0,0,0,12.547182,12.547182,31/10/2011,11:53:10,1,,,,,
010-000000330,864,10,Department of the Interior,DOI - Infrastructure - End User Support,1167,,Unified Messaging,"A single messaging system for the Department of the Interior including email, instand messaging, desktop video conferencing, and messaging archiving.",01/10/2011,30/09/2012,30/09/2012,30/09/2012,21.944,0,0,0,0,21.94369,21.94369,31/10/2011,11:53:10,1,,,,,
010-000000330,864,10,Department of the Interior,DOI - Infrastructure - End User Support,1168,,Workplace Computing Services,"Desktop/laptop provisioning and support, mobile devices (Blackberry, iPad, iPhone, etc.), enterprise licensing for desktop software, asset management.",01/10/2011,30/09/2012,30/09/2012,30/09/2012,80.331096,0,0,0,0,80.331096,80.331096,24/10/2011,06:13:53,2,,,,,
010-000000330,864,10,the Department,DOI - Infrastructure - End User Support,1169,,Enterprise Service Desk,"Toll-free number, webchat, and website for end user service requests, call center customer support (including remote desktop support), routing of trouble tickets to deskside/technical support and/or to mission application support as applicable.",01/10/2011,30/09/2012,30/09/2012,30/09/2012,16.54842,0,0,0,0,16.54842,16.54842,24/10/2011,06:13:53,3,,,,,
010-000000338,865,10,Department of the Interior,DOI - Infrastructure - IT Infrastructure Management Enabling Capabilities,,,Account Management,"Ensure that employees from multiple bureaus can work in the same location, rationalizing and imporving AD managemnet.  Management of user identites management and user identies accouring to ICAM principles.",01/10/2011,30/09/2012,30/09/2012,30/09/2012,7.112,0,0,0,0,7.112,7.112,31/10/2011,11:53:10,1,,,,,
010-000000357,866,10,Department of the Interior,DOI - Infrastructure - Telecommunications,1174,,Telecommunications Management,"This project focuses on flattening the Network, Networks, network security, wireless local netwoek, secure remote access (VPN), classified communications, Voice over IP, audio conferencing, video conferencing (room to room) and satellite phone services.",01/10/2011,30/09/2012,30/09/2012,30/09/2012,52.597902,0,0,0,0,52.597902,52.597902,31/10/2011,11:53:10,2,,,,,
010-000000342,868,10,Department of the Interior,DOI - Infrastructure - Mainframe / Server Support,1171,,Hosting Services & Data Center Consolidation Phase 2,"This project includes hosting services such as  the management and costs for data centers, external hosting (cloud) data base administration, disaster recovery.  Additionally, Phase 2 of the DOI Data Center Consolidation Project is also included in this project for FY12.",01/10/2011,30/09/2012,30/09/2012,30/09/2012,70.06221,0,0,0,0,70.06221,70.06221,31/10/2011,11:53:10,1,,,,,
011-000001126,426,11,Department of Justice,JMD Unified Financial Management System (UFMS),594,,JMD Unified Financial Management System (UFMS),The Department of Justice (DOJ) has initiated an effort to implement a unified financial management system (UFMS) that will improve the existing and future financial management and procurement operations across DOJ.,01/10/2002,30/09/2021,18/09/2013,18/09/2013,851.145712,0,0,0.389534,0.92,42.348096,41.958562,25/06/2012,08:22:24,001126-A,,,,,
011-000001126,426,11,Department of Justice,JMD Unified Financial Management System (UFMS),2929,,Federal Bureau of Investigation (FBI) Phase 2 (CJIS),"The implementation of UFMS-S at the FBI will consist of business transformation, testing, and implementation.",18/10/2010,30/03/2015,30/03/2015,30/03/2015,48.421,0,0,0.040407,0.08,48.420743,48.380336,27/02/2012,11:47:05,001126-C,,,,,
011-000001126,426,11,Department of Justice,JMD Unified Financial Management System (UFMS),2930,,United States Marshals Service (USMS) Phase 2,The implementation of UFMS at the U.S. Marshals Service will follow a two-phase approach consisting of Planning and Requirements followed by Configuration and Implementation..,01/03/2010,14/12/2012,14/12/2012,14/12/2012,17.661015,0,0,0,0,17.633992,17.633992,27/02/2012,11:47:05,001126-D,,,,,
011-000001126,426,11,Department of Justice,JMD Unified Financial Management System (UFMS),2931,,Bureau of Prisons (BOP),The upgrade of BOP and USMS comprises the work to move from the UFMS 1.1 Shared Acquisitions to the UFMS 2 shared environment utilizing similar acquisition functionality.,01/01/2012,02/01/2013,02/01/2013,02/01/2013,0.747266,0,0,0,0,0.747266,0.747266,27/02/2012,11:47:05,001126-E,,,,,
011-000001126,426,11,Department of Justice,JMD Unified Financial Management System (UFMS),2932,,Asset Forfeiture Program (AFP) Phase 2,The implementation of UFMS at the AFP will follow a two-part approach consisting of Planning and Requirements followed by Configuration and Implementation.,01/11/2010,30/11/2012,05/09/2012,05/09/2012,5.902,0,0,0.016591,0.28,5.901918,5.885327,27/02/2012,11:47:05,00126-B,,,,,
011-000003372,429,11,Department of Justice,FBI Data Integration and Visualization System (DIVS),559,,DIVS Increment 2,"Enhance the DIVS data aggregation and analysis capability by growing the data holdings to 50 or more data sets and adding advanced functionality to include improved search capabilities, language translations, geo-spatial analysis, and visualization.",04/01/2011,30/09/2011,30/09/2011,30/09/2011,26.428,0,0,1.819,6.88,26.428,24.609,20/12/2011,11:41:15,B,,,,,
011-000002503,430,11,Department of Justice,FBI Digital Collection,562,,Integration and Engineering Services (IES),Integration and information sharing platform for Title 50 systems.,01/10/2011,30/09/2012,30/09/2012,30/09/2012,6.12,0,0,0,0,6.12,6.12,28/02/2012,11:43:26,B,,,,,
011-000003373,432,11,Department of Justice,FBI Guardian,563,,Guardian 2.5,"Enhancements  to the Guardian application to ensure compliance with policy guidelines, maintain inter-operability with external systems, and provide user-requested features.",01/07/2011,31/05/2012,31/05/2012,31/05/2012,1.884,0,0,0.017,0.9,1.884,1.867,25/06/2012,08:50:56,A,,,,,
011-000003373,432,11,Department of Justice,FBI Guardian,566,,eGuardian 1.3.7,"Enhancements to the eGuardian application to ensure compliance with policy guidelines, maintain inter-operability with external systems, and provide user-requested features.",01/04/2011,29/02/2012,29/02/2012,29/02/2012,1.884,0,0,0.0152,0.81,1.884,1.8688,23/03/2012,06:17:13,D,,,,,
011-000003373,432,11,Department of Justice,FBI Guardian,567,,eGuardian 1.3.8,"Enhancements to the eGuardian application to ensure compliance with policy guidelines, maintain inter-operability with external systems, and provide user-requested features.",03/10/2011,31/08/2012,31/08/2012,31/08/2012,1.884,0,0,0.06,3.18,1.884,1.824,25/06/2012,08:50:56,E,,,,,
011-000003024,434,11,Department of Justice,FBI Law Enforcement National Data Exchange Program (NDEx),569,,N-DEx Phase II Enhancements,"Search, Geo and Link Vizualization Enhancements, and Increased Ingest Capability.",23/03/2011,27/04/2012,23/03/2012,08/06/2012,15.675,-77,-21.04,1.458,9.79,14.9,13.442,20/07/2012,12:28:35,18,,,,,
011-000002616,437,11,Department of Justice,FBI National Instant Criminal Background Check System (NICS),573,,NNICS Development Project,New NICS Development - RFP Preparation & Source Selection Activities.,01/05/2011,24/08/2012,24/08/2012,24/08/2012,2.898189,-7,-1.46,0.010723,0.37,2.898189,2.887466,25/06/2012,08:22:13,002616-A,,,,,
011-000003211,441,11,Department of Justice,FBI SENTINEL,2556,,Sentinel,Agile Development - An Automated Case Management System.,01/10/2010,16/05/2012,16/05/2012,25/05/2012,32.6383,-107,-18.04,1.089285,3.34,32.638258,31.548973,25/06/2012,08:22:19,020100-A,,,,,
011-000003177,442,11,Department of Justice,FBI Terrorist Screening System (TSS),646,,TSDB 2.10,National Counterterrorism Center (NCTC) Confirmation Queue Routing; Special Category Tagging; Data Validation and new exports.,03/06/2011,03/12/2011,03/12/2011,02/12/2011,4.128,1,0.58,0,0,4.127,4.127,20/04/2012,12:59:24,003177-A,,,,,
011-000003177,442,11,Department of Justice,FBI Terrorist Screening System (TSS),647,,EMA 2.8,EMA Export enhancements; ID Document Data Entry Rules and New Vehicle Fields; add vessel to Hit Location Type; Additional Reference Data; Add Hit Reasons to CJIS/NICS Encounter Type;Analysis Tool Batch Matching.,03/06/2011,15/02/2012,15/02/2012,01/02/2012,2.811,14,5.71,0,0,2.811,2.811,20/04/2012,12:59:24,003177-B,,,,,
011-000002909,443,11,Department of Justice,FBI Top Secret/Sensitive Compartmented Information Operational Network (SCION),577,,Site 2 Delivery,Buildout of SCION technology refresh system (hardware and software) in primary (permanent) Data Center.,01/07/2011,23/06/2012,23/06/2012,23/06/2012,6.85,-69,-19.27,0,0,6.85,6.85,25/06/2012,08:50:56,C,,,,,
011-000002501,858,11,Department of Justice,FBI Combined DNA Index System (CODIS),553,,CODIS Software FY11 Service Pack,Captures the first NGCODIS 7.0 Maintenance package.,01/07/2011,27/09/2011,27/09/2011,27/09/2011,1.61,0,0,0.244494,15.19,1.61,1.365506,20/07/2012,12:28:34,002501A,,,,,
011-000002501,858,11,Department of Justice,FBI Combined DNA Index System (CODIS),554,,CODIS Software FY12 Service Packs,Captures phased maintenance service packs through FY12.,28/09/2011,27/09/2012,27/09/2012,27/09/2012,6.04,0,0,0.428752,7.1,6.04,5.611248,20/07/2012,12:28:34,002501B,,,,,
011-000002501,858,11,Department of Justice,FBI Combined DNA Index System (CODIS),555,,NGCODIS Multi-Lingual Prototype - in support of soutwest borders,Effort to prototype CODIS software localization via a Multi-Lingual Interface.,01/08/2011,31/07/2012,31/07/2012,31/07/2012,4,-31,-8.49,0,0,4,4,20/07/2012,12:28:34,002501C,,,,,
011-000002916,859,11,Department of Justice,FBI Data Centers,557,,Data Center Relocation,Relocation of systems/applications to Site 73.,10/05/2010,30/09/2012,01/03/2012,01/03/2012,4.845,0,0,0,0,4.845,4.845,23/03/2012,05:58:41,A,,,,,
011-000002502,1052,11,Department of Justice,FBI National Crime Information Center (NCIC),572,,NCIC CIB Study.,CJIS Information Broker Study.,15/11/2011,30/09/2012,30/09/2012,27/10/2012,0.99825,-27,-8.44,0,0,0.99825,0.99825,20/07/2012,12:28:35,B,,,,,
011-000002705,1062,11,Department of Justice,BOP SENTRY,552,,Web Sentry Migration,Complete migration of Sentry from an Intercom/IDMS based infrastructure to a web-based IBM Websphere/CICS/Java/DB2 infrastructure.,01/06/2011,30/06/2012,30/06/2012,29/04/2012,0.5576,62,15.7,1.0E-5,0,0.55756,0.55755,20/07/2012,12:28:33,002705-A,,,,,
012-000003535,101,12,Department of Labor,BLS - Industrial Prices Systems (IPS),1380,,"IPS System Development: PPI Web Repricing, IPS Initiation and IPP Repricing",Develop software to deploy the PPI Web Repricing module and complete the Architectural Elaboration milestone for the IPS Initiation and IPP Repricing subsystems.,01/07/2011,30/09/2011,30/09/2011,30/09/2011,0.674,0,0,-0.012959,-1.92,0.674,0.686959,15/11/2011,12:12:59,353501,,,,,
012-000003535,101,12,Department of Labor,BLS - Industrial Prices Systems (IPS),1381,,IPS System Development: IPP Estimation,Develop software to complete the Architectural Elaboration milestone for the IPP Estimation subsystem.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,1.029,0,0,-0.027087,-2.63,1.029,1.056087,14/05/2012,05:35:15,3535010,,,,,
012-000003535,101,12,Department of Labor,BLS - Industrial Prices Systems (IPS),1382,,Maintenance - PPI Repricing and Estimation Subsystems Upgrade,Upgrade PPI Repricing and Estimation subsystems for the timely and accurate release of PPI data.,03/10/2011,29/06/2012,29/06/2012,29/06/2012,1.572,0,0,0.524,33.33,1.572,1.048,12/07/2012,12:42:44,353502,,,,,
012-000003535,101,12,Department of Labor,BLS - Industrial Prices Systems (IPS),,,Maintenance - PPI Estimation Subsystem Variance Upgrade,Perform application maintenance to support new PPI program outputs.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,0.568,0,0,0.146,25.7,0.568,0.422,14/05/2012,05:35:15,353503,,,,,
012-000003535,101,12,Department of Labor,BLS - Industrial Prices Systems (IPS),1384,,Maintenance - PPI Sampling Subsystem Upgrade,Complete  Phase 1 of PPI Sampling subsystem upgrade to move from unsupported software.,02/04/2012,28/09/2012,28/09/2012,28/09/2012,0.212,0,0,0,0,0.212,0.212,14/05/2012,05:35:15,353504,,,,,
012-000003535,101,12,Department of Labor,BLS - Industrial Prices Systems (IPS),1385,,Maintenance - IPP System Platform Upgrade,"Upgrade IPP client-server applications:  PowerBuilder, Checkpoint on laptops and smart cards, Weblogic 64-bit, and Oracle.",03/10/2011,30/03/2012,30/03/2012,13/04/2012,0.331,-14,-7.82,0.137,41.39,0.331,0.194,14/05/2012,05:35:15,353505,,,,,
012-000003535,101,12,Department of Labor,BLS - Industrial Prices Systems (IPS),1386,,Maintenance - IPP Application Upgrade,Upgrade IPP Repricing and Index Review subsystems for the timely and accurate release of IPP data.,02/04/2012,28/09/2012,28/09/2012,28/09/2012,0.664,0,0,0.023,3.46,0.664,0.641,12/07/2012,12:42:44,353506,,,,,
012-000003535,101,12,Department of Labor,BLS - Industrial Prices Systems (IPS),1387,,IPS System Development:  IPP Repricing,Develop software to complete the Requirements and Design Elaboration for the IPP Repricing subsystem.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,1028999.9999999999,0,0,0,0,1.029,1.029,14/05/2012,05:35:15,353507,,,,,
012-000003535,101,12,Department of Labor,BLS - Industrial Prices Systems (IPS),1388,,IPS System Development:  IPS Initiation,Develop software to complete the Requirements Elaboration for the IPS Initiation subsystem.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,1.029,0,0,0,0,1.029,1.029,14/05/2012,05:35:15,353508,,,,,
012-000003535,101,12,Department of Labor,BLS - Industrial Prices Systems (IPS),1389,,IPS System Development:  IPS Electronic Repricing Reporting Methods (ERRM),Develop software to complete the Architectural Elaboration milestone for the Fax/Mail module of the ERRM subsystems.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,0.515,0,0,0.025747,5,0.515,0.489253,14/05/2012,05:35:15,353509,,,,,
012-000001075,103,12,Department of Labor,BLS - National Compensation Survey (NCS) Maintenance,1390,,Maintenance - FY 2012 NCS Benefit Estimation Systems Upgrade,Update Benefit Estimation Systems to produce FY 2012 Employment Benefits Survey (EBS) estimates.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,0.336,0,0,0.073,21.73,0.336,0.263,12/06/2012,10:58:31,107501,,,,,
012-000001075,103,12,Department of Labor,BLS - National Compensation Survey (NCS) Maintenance,1391,,Maintenance - E-Update Application Upgrade,Update NCS Data Collection Application to expand the ability to collect benefits electronically.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,0.462,0,0,0.088,19.05,0.462,0.374,14/05/2012,05:35:15,107502,,,,,
012-000001075,103,12,Department of Labor,BLS - National Compensation Survey (NCS) Maintenance,1392,,Maintenance - Contact Management Application Upgrade,Update NCS Data Collection Application to improve the processes for maintaining respondent contact information.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,0.42,0,0,0.072,17.14,0.42,0.348,14/05/2012,05:35:15,107503,,,,,
012-000001075,103,12,Department of Labor,BLS - National Compensation Survey (NCS) Maintenance,1393,,Maintenance - NCS Data Collection Application Upgrade,Perform major COTS upgrade on the Data Collection Application to avoid platform obsolescence and perform maintenance to support NAICS 2012.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,0.63,0,0,0.108,17.14,0.63,0.522,14/05/2012,05:35:15,107504,,,,,
012-000001025,105,12,Department of Labor,EBSA - EFAST2,127,,Maintenance - System Rollover: System Rollover ImplementationFY11 - 12.,Implementation of System Rollover changes to support processing of revised Form 5500 Plan Year forms.,07/07/2011,03/01/2012,03/01/2012,03/01/2012,0.735,0,0,0,0,0.735,0.735,13/03/2012,12:21:00,1025-01,,,,,
012-000001025,105,12,Department of Labor,EBSA - EFAST2,128,,Maintenance - System Rollover: System Rollover Implementation FY12 - 13.,Implementation of System Rollover changes to support processing of revised Form 5500 Plan Year forms. performance metrics are reviewed monthly and quarterly to ensure compliance.,05/07/2012,03/01/2013,03/01/2013,03/01/2013,0.756,0,0,0,0,0.756,0.756,11/08/2012,11:45:27,1025-02,,,,,
012-000001025,105,12,Department of Labor,EBSA - EFAST2,129,,Contact Center Ramp Up 2011,Train and implement temporary support staff to support peak period demand (July to October 2011).,01/06/2011,31/10/2011,31/10/2011,31/10/2011,0.587886,0,0,0.160724,27.33,0.588,0.427276,13/03/2012,12:21:00,1025-03,,,,,
012-000002055,109,12,Department of Labor,OLMS - Electronic Labor Organization Reporting System (e.LORS),135,,FY11 Quarter 4 e.LORS Application Release.,Application modifications and user requested incremental enhancements.,01/07/2011,30/09/2011,30/09/2011,30/09/2011,0.15,0,0,0.002,1.33,0.15,0.148,22/02/2012,14:32:10,205511,,,,,
012-000002055,109,12,Department of Labor,OLMS - Electronic Labor Organization Reporting System (e.LORS),137,,FY12 e.LORS Sytem Enhancements,"Improving system reporting capabilities, developing system for processing LM-30 reports, enhancing other system functionalities.",01/10/2011,30/09/2012,30/09/2012,30/09/2012,0.27,0,0,-0.001,-0.37,0.27,0.271,14/03/2012,06:52:48,205513,,,,,
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),80,,Procurement,Software Federal Procurement.,23/09/2011,30/09/2011,30/09/2011,30/09/2011,0.21608,0,0,0,0,0.21608,0.21608,15/11/2011,12:13:02,2575010000,,,,,
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),81,,Requirements,Project Management & Governance.,03/10/2011,30/12/2011,30/12/2011,30/12/2011,0.14856,0,0,0,0,0.14856,0.14856,16/02/2012,13:48:03,2575020000,,,,,
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),82,,Technical Improvements,Infrastructure Improvements.,03/01/2012,29/02/2012,29/02/2012,29/02/2012,0.20776,0,0,0,0,0.20776,0.20776,13/03/2012,13:17:26,2575030000,,,,,
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),83,,Prototype & Integration I,Interoperability.,03/01/2012,29/06/2012,29/06/2012,29/06/2012,0.30504,0,0,0,0,0.30504,0.30504,12/07/2012,12:42:45,2575040000,,,,,
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),84,,Prototype & Integration II,Performance Integration.,03/01/2012,29/06/2012,29/06/2012,29/06/2012,0.30848,0,0,0,0,0.30848,0.30848,12/07/2012,12:42:45,2575050000,,,,,
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),85,,Departmental Deployment,Decision Support Service Framework.,02/07/2012,28/09/2012,28/09/2012,28/09/2012,0.28918,0,0,0,0,0.28918,0.28918,11/08/2012,11:45:28,2575060000,,,,,
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),86,,Security,Security.,02/04/2012,28/09/2012,28/09/2012,28/09/2012,0.11,0,0,0,0,0.11,0.11,14/05/2012,05:35:16,2575070000,,,,,
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),87,,Training,Training.,02/07/2012,28/09/2012,28/09/2012,28/09/2012,0.0924,0,0,0,0,0.0924,0.0924,11/08/2012,11:45:28,2575080000,,,,,
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),88,,Documentation,Documentation.,02/07/2012,28/09/2012,28/09/2012,28/09/2012,0.0725,0,0,0,0,0.0725,0.0725,11/08/2012,11:45:28,2575090000,,,,,
012-000003225,116,12,Department of Labor,OASAM - HSPD-12,92,,Identity Asset Management (IAM) Development and Modernization Effort-Design & HW Acquisition-20,Complete design of Tivoli Suite and acquire hardware.,02/06/2011,03/10/2011,03/10/2011,13/09/2011,0.161,20,16.26,0.022,13.69,0.1607,0.1387,28/10/2011,06:50:17,322401,,,,,
012-000003225,116,12,Department of Labor,OASAM - HSPD-12,93,,"Identity Asset Management (IAM) Development and Modernization Effort - Base Year 1-26,27,28","The IAM project in FY12 Base Year 1, will cover two areas: Disaster Recovery and Integration with DOL Systems. 1. Disaster Recovery: the IAM Team will identify an external site in one of the Regions, then implement a replication of the production site (the one at OASAM). 2. The effectiveness and ultimate success of the program lays on the ability to share data with other systems and suit the Identity Access Management solution into the day to day operations of DOL central and regional offices.",03/10/2011,28/09/2012,28/09/2012,28/09/2012,1.1425,0,0,1.0E-4,0.01,1.1425,1.1424,12/06/2012,10:58:33,322501,,,,,
012-000003225,116,12,Department of Labor,OASAM - HSPD-12,94,,Identity Asset Management (IAM) Development and Modernization Effort-Infrastructure Build-21,"This task includes: FY11 ATO activities, testing, migration, and IAM base configuration.",17/06/2011,04/10/2011,04/10/2011,07/12/2011,1.141,-64,-58.72,0.56754,49.74,1.141,0.57346,14/12/2011,13:13:44,324401,,,,,
012-000003225,116,12,Department of Labor,OASAM - HSPD-12,95,,Identity Asset Management (IAM) Development and Modernization Effort-GSS Integration-22,IAM Integration with OASAM GSS networks.,08/07/2011,25/08/2011,25/08/2011,07/12/2011,0.0764,-104,-216.67,-4.2E-5,-0.05,0.0764,0.076442,14/12/2011,13:13:44,324501,,,,,
012-000003225,116,12,Department of Labor,OASAM - HSPD-12,96,,Identity Asset Management (IAM) Development and Modernization Effort-CPS-23,Implementation and rollout of Contractor Personnel System (CPS).,17/06/2011,28/09/2011,28/09/2011,30/12/2011,0.0964,-93,-90.29,0.005877,6.1,0.0964,0.090523,27/02/2012,13:46:59,324601,,,,,
012-000003225,116,12,Department of Labor,OASAM - HSPD-12,97,,"Identity Asset Management (IAM) Development and Modernization Effort-Integration, Development, Testing-24","Development, testing and implementation of core application - Tivoli Suite.",17/06/2011,30/09/2011,30/09/2011,30/12/2011,0.137,-91,-86.67,6.1E-5,0.04,0.1368,0.136739,27/02/2012,13:46:59,324701,,,,,
012-000002045,121,12,Department of Labor,ETA - Foreign Labor Certification Systems (FLCS),118,,DME -- H-2A Phase 1,"Integrate the H-2A case management system into the iCERT System in order to address regulatory changes, improve efficiency, reduce maintenance costs, and combat fraud and abuse.",01/10/2010,30/09/2011,30/09/2011,16/10/2012,0.66,-382,-104.95,-0.170561,-25.84,0.66,0.830561,15/03/2012,05:27:16,204501,,,,,
012-000002045,121,12,Department of Labor,ETA - Foreign Labor Certification Systems (FLCS),121,,DME -- iCERT Portal/LCA/PW Phase 2,Deliver additional integration-based functionality and process improvements for the LCA and Prevailing Wage case management systems based on user feedback.,03/01/2011,05/03/2012,07/12/2011,26/03/2012,1.04,-110,-32.54,0.350293,33.68,1.04,0.689707,11/08/2012,11:45:27,204504,,,,,
012-000002045,121,12,Department of Labor,ETA - Foreign Labor Certification Systems (FLCS),122,,Maintenance -- Database management system software upgrade,Upgrade the database management system software to the latest version.,06/06/2011,23/01/2012,23/01/2012,30/09/2012,0.02,-251,-108.66,-0.05,-250,0.02,0.07,11/08/2012,11:45:28,204505,,,,,
012-000002045,121,12,Department of Labor,ETA - Foreign Labor Certification Systems (FLCS),123,,Maintenance -- LCJR enhancements,"Enhance the iCERT System to provide the public access to all H-1B, H-2A, H-2B, and PERM labor certifications.",30/06/2011,30/09/2011,30/09/2011,28/09/2012,0.02,-364,-395.65,-0.03,-150,0.02,0.05,11/08/2012,11:45:28,204506,,,,,
012-000002045,121,12,Department of Labor,ETA - Foreign Labor Certification Systems (FLCS),124,,Maintenance - LCA enhancements,Deliver minor enhancements for the LCA case management system.,03/10/2011,02/04/2012,02/04/2012,31/12/2012,0.03,-273,-150,-0.03,-100,0.03,0.06,11/08/2012,11:45:28,204507,,,,,
012-000002045,121,12,Department of Labor,ETA - Foreign Labor Certification Systems (FLCS),125,,Maintenance - Prevailing Wage enhancements,Deliver minor enhancements for the Prevailing Wage case management system.,03/10/2011,02/04/2012,02/04/2012,31/12/2012,0.03,-273,-150,-0.03,-100,0.03,0.06,11/08/2012,11:45:28,204508,,,,,
012-000001010,122,12,Department of Labor,ETA - Job Corps Student Pay Allotment Management Information System (SPAMIS),14,,MAINTENANCE - STORAGE AREA NETWORK UPGRADE,Add SAN disk storage to support OMB-mandated Data Center Consolidation Initiative.,01/10/2010,02/09/2012,02/09/2012,02/09/2012,0.962,0,0,0,0,0.962,0.962,13/03/2012,12:59:58,1010010000,,,,,
012-000001010,122,12,Department of Labor,ETA - Job Corps Student Pay Allotment Management Information System (SPAMIS),15,,MAINTENANCE - SWITCH/ROUTER UPGRADE PHASE III,"Replace the network switch/router infrastructure at 9 Job Corps Centers to improve performance, reduce power consumption and tighten security.",04/03/2011,30/12/2011,30/12/2011,30/12/2011,0.254,0,0,0,0,0.254,0.254,16/02/2012,13:47:47,1010020000,,,,,
012-000001010,122,12,Department of Labor,ETA - Job Corps Student Pay Allotment Management Information System (SPAMIS),16,,MAINTENANCE - STUDENT PC REFRESH,"Replace 4,700 out-of-date student PCs and monitors.",04/03/2011,24/02/2012,24/02/2012,24/02/2012,0.369,0,0,0,0,0.369,0.369,13/03/2012,12:59:58,1010030000,,,,,
012-000001010,122,12,Department of Labor,ETA - Job Corps Student Pay Allotment Management Information System (SPAMIS),17,,MAINTENANCE - SPAMIS MODULE UPGRADES FY12,Upgrade SPAMIS to improve performance and efficiency.,23/09/2011,22/09/2012,22/09/2012,22/09/2012,1.295,0,0,0,0,1.295,1.295,14/05/2012,05:35:16,1010040000,,,,,
012-000002085,123,12,Department of Labor,MSHA - MSHA Standardized Information System (MSIS),71,,FY11 Application Improvement Releases,FY11 MSIS Application Improvement Releases: Provide application fixes and enhancements for all MSIS functions and applications as requested by Program Area IT Coordinators.,01/06/2010,31/08/2011,31/08/2011,19/08/2011,3.769769,12,5.69,0.594829,36.45,1.631924,1.037095,12/07/2012,12:42:44,208501,,,,,
012-000002085,123,12,Department of Labor,MSHA - MSHA Standardized Information System (MSIS),72,,FY12 Application Improvement Releases,FY12 MSIS Application Improvement Releases: Provide application fixes and enhancements for all MSIS functions and applications as requested by Program Area IT coordinators. Implement enhancements and application changes recommended in the Upper Big Branch investigation final report.,01/07/2011,10/08/2012,10/08/2012,10/08/2012,4.743254,-21,-5.17,1.25768,26.52,4.743254,3.485574,12/07/2012,12:42:44,208502,,,,,
