Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Cost Variance ($ M),Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID,Column 24,Column 25,Column 26,Column 27,Column 28
012-000003535,101,12,Department of Labor,BLS - Industrial Prices Systems (IPS),,,Maintenance - PPI Estimation Subsystem Variance Upgrade,Perform application maintenance to support new PPI program outputs.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,0.568,0,0,0.146,25.7,0.568,0.422,14/05/2012,05:35:15,353503,,,,,
012-000003535,101,12,Department of Labor,BLS - Industrial Prices Systems (IPS),1384,,Maintenance - PPI Sampling Subsystem Upgrade,Complete  Phase 1 of PPI Sampling subsystem upgrade to move from unsupported software.,02/04/2012,28/09/2012,28/09/2012,28/09/2012,0.212,0,0,0,0,0.212,0.212,14/05/2012,05:35:15,353504,,,,,
012-000003535,101,12,Department of Labor,BLS - Industrial Prices Systems (IPS),1385,,Maintenance - IPP System Platform Upgrade,"Upgrade IPP client-server applications:  PowerBuilder, Checkpoint on laptops and smart cards, Weblogic 64-bit, and Oracle.",03/10/2011,30/03/2012,30/03/2012,13/04/2012,0.331,-14,-7.82,0.137,41.39,0.331,0.194,14/05/2012,05:35:15,353505,,,,,
012-000003535,101,12,Department of Labor,BLS - Industrial Prices Systems (IPS),1386,,Maintenance - IPP Application Upgrade,Upgrade IPP Repricing and Index Review subsystems for the timely and accurate release of IPP data.,02/04/2012,28/09/2012,28/09/2012,28/09/2012,0.664,0,0,0.023,3.46,0.664,0.641,12/07/2012,12:42:44,353506,,,,,
012-000003535,101,12,Department of Labor,BLS - Industrial Prices Systems (IPS),1387,,IPS System Development:  IPP Repricing,Develop software to complete the Requirements and Design Elaboration for the IPP Repricing subsystem.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,1028999.9999999999,0,0,0,0,1.029,1.029,14/05/2012,05:35:15,353507,,,,,
012-000003535,101,12,Department of Labor,BLS - Industrial Prices Systems (IPS),1388,,IPS System Development:  IPS Initiation,Develop software to complete the Requirements Elaboration for the IPS Initiation subsystem.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,1.029,0,0,0,0,1.029,1.029,14/05/2012,05:35:15,353508,,,,,
012-000003535,101,12,Department of Labor,BLS - Industrial Prices Systems (IPS),1389,,IPS System Development:  IPS Electronic Repricing Reporting Methods (ERRM),Develop software to complete the Architectural Elaboration milestone for the Fax/Mail module of the ERRM subsystems.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,0.515,0,0,0.025747,5,0.515,0.489253,14/05/2012,05:35:15,353509,,,,,
012-000001075,103,12,Department of Labor,BLS - National Compensation Survey (NCS) Maintenance,1390,,Maintenance - FY 2012 NCS Benefit Estimation Systems Upgrade,Update Benefit Estimation Systems to produce FY 2012 Employment Benefits Survey (EBS) estimates.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,0.336,0,0,0.073,21.73,0.336,0.263,12/06/2012,10:58:31,107501,,,,,
012-000001075,103,12,Department of Labor,BLS - National Compensation Survey (NCS) Maintenance,1391,,Maintenance - E-Update Application Upgrade,Update NCS Data Collection Application to expand the ability to collect benefits electronically.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,0.462,0,0,0.088,19.05,0.462,0.374,14/05/2012,05:35:15,107502,,,,,
012-000001075,103,12,Department of Labor,BLS - National Compensation Survey (NCS) Maintenance,1392,,Maintenance - Contact Management Application Upgrade,Update NCS Data Collection Application to improve the processes for maintaining respondent contact information.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,0.42,0,0,0.072,17.14,0.42,0.348,14/05/2012,05:35:15,107503,,,,,
012-000001075,103,12,Department of Labor,BLS - National Compensation Survey (NCS) Maintenance,1393,,Maintenance - NCS Data Collection Application Upgrade,Perform major COTS upgrade on the Data Collection Application to avoid platform obsolescence and perform maintenance to support NAICS 2012.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,0.63,0,0,0.108,17.14,0.63,0.522,14/05/2012,05:35:15,107504,,,,,
012-000001025,105,12,Department of Labor,EBSA - EFAST2,127,,Maintenance - System Rollover: System Rollover ImplementationFY11 - 12.,Implementation of System Rollover changes to support processing of revised Form 5500 Plan Year forms.,07/07/2011,03/01/2012,03/01/2012,03/01/2012,0.735,0,0,0,0,0.735,0.735,13/03/2012,12:21:00,1025-01,,,,,
012-000001025,105,12,Department of Labor,EBSA - EFAST2,128,,Maintenance - System Rollover: System Rollover Implementation FY12 - 13.,Implementation of System Rollover changes to support processing of revised Form 5500 Plan Year forms. performance metrics are reviewed monthly and quarterly to ensure compliance.,05/07/2012,03/01/2013,03/01/2013,03/01/2013,0.756,0,0,0,0,0.756,0.756,11/08/2012,11:45:27,1025-02,,,,,
012-000001025,105,12,Department of Labor,EBSA - EFAST2,129,,Contact Center Ramp Up 2011,Train and implement temporary support staff to support peak period demand (July to October 2011).,01/06/2011,31/10/2011,31/10/2011,31/10/2011,0.587886,0,0,0.160724,27.33,0.588,0.427276,13/03/2012,12:21:00,1025-03,,,,,
012-000002055,109,12,Department of Labor,OLMS - Electronic Labor Organization Reporting System (e.LORS),135,,FY11 Quarter 4 e.LORS Application Release.,Application modifications and user requested incremental enhancements.,01/07/2011,30/09/2011,30/09/2011,30/09/2011,0.15,0,0,0.002,1.33,0.15,0.148,22/02/2012,14:32:10,205511,,,,,
012-000002055,109,12,Department of Labor,OLMS - Electronic Labor Organization Reporting System (e.LORS),137,,FY12 e.LORS Sytem Enhancements,"Improving system reporting capabilities, developing system for processing LM-30 reports, enhancing other system functionalities.",01/10/2011,30/09/2012,30/09/2012,30/09/2012,0.27,0,0,-0.001,-0.37,0.27,0.271,14/03/2012,06:52:48,205513,,,,,
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),80,,Procurement,Software Federal Procurement.,23/09/2011,30/09/2011,30/09/2011,30/09/2011,0.21608,0,0,0,0,0.21608,0.21608,15/11/2011,12:13:02,2575010000,,,,,
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),81,,Requirements,Project Management & Governance.,03/10/2011,30/12/2011,30/12/2011,30/12/2011,0.14856,0,0,0,0,0.14856,0.14856,16/02/2012,13:48:03,2575020000,,,,,
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),82,,Technical Improvements,Infrastructure Improvements.,03/01/2012,29/02/2012,29/02/2012,29/02/2012,0.20776,0,0,0,0,0.20776,0.20776,13/03/2012,13:17:26,2575030000,,,,,
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),83,,Prototype & Integration I,Interoperability.,03/01/2012,29/06/2012,29/06/2012,29/06/2012,0.30504,0,0,0,0,0.30504,0.30504,12/07/2012,12:42:45,2575040000,,,,,
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),84,,Prototype & Integration II,Performance Integration.,03/01/2012,29/06/2012,29/06/2012,29/06/2012,0.30848,0,0,0,0,0.30848,0.30848,12/07/2012,12:42:45,2575050000,,,,,
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),85,,Departmental Deployment,Decision Support Service Framework.,02/07/2012,28/09/2012,28/09/2012,28/09/2012,0.28918,0,0,0,0,0.28918,0.28918,11/08/2012,11:45:28,2575060000,,,,,
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),86,,Security,Security.,02/04/2012,28/09/2012,28/09/2012,28/09/2012,0.11,0,0,0,0,0.11,0.11,14/05/2012,05:35:16,2575070000,,,,,
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),87,,Training,Training.,02/07/2012,28/09/2012,28/09/2012,28/09/2012,0.0924,0,0,0,0,0.0924,0.0924,11/08/2012,11:45:28,2575080000,,,,,
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),88,,Documentation,Documentation.,02/07/2012,28/09/2012,28/09/2012,28/09/2012,0.0725,0,0,0,0,0.0725,0.0725,11/08/2012,11:45:28,2575090000,,,,,
012-000003225,116,12,Department of Labor,OASAM - HSPD-12,92,,Identity Asset Management (IAM) Development and Modernization Effort-Design & HW Acquisition-20,Complete design of Tivoli Suite and acquire hardware.,02/06/2011,03/10/2011,03/10/2011,13/09/2011,0.161,20,16.26,0.022,13.69,0.1607,0.1387,28/10/2011,06:50:17,322401,,,,,
012-000003225,116,12,Department of Labor,OASAM - HSPD-12,93,,"Identity Asset Management (IAM) Development and Modernization Effort - Base Year 1-26,27,28","The IAM project in FY12 Base Year 1, will cover two areas: Disaster Recovery and Integration with DOL Systems. 1. Disaster Recovery: the IAM Team will identify an external site in one of the Regions, then implement a replication of the production site (the one at OASAM). 2. The effectiveness and ultimate success of the program lays on the ability to share data with other systems and suit the Identity Access Management solution into the day to day operations of DOL central and regional offices.",03/10/2011,28/09/2012,28/09/2012,28/09/2012,1.1425,0,0,1.0E-4,0.01,1.1425,1.1424,12/06/2012,10:58:33,322501,,,,,
012-000003225,116,12,Department of Labor,OASAM - HSPD-12,94,,Identity Asset Management (IAM) Development and Modernization Effort-Infrastructure Build-21,"This task includes: FY11 ATO activities, testing, migration, and IAM base configuration.",17/06/2011,04/10/2011,04/10/2011,07/12/2011,1.141,-64,-58.72,0.56754,49.74,1.141,0.57346,14/12/2011,13:13:44,324401,,,,,
012-000003225,116,12,Department of Labor,OASAM - HSPD-12,95,,Identity Asset Management (IAM) Development and Modernization Effort-GSS Integration-22,IAM Integration with OASAM GSS networks.,08/07/2011,25/08/2011,25/08/2011,07/12/2011,0.0764,-104,-216.67,-4.2E-5,-0.05,0.0764,0.076442,14/12/2011,13:13:44,324501,,,,,
012-000003225,116,12,Department of Labor,OASAM - HSPD-12,96,,Identity Asset Management (IAM) Development and Modernization Effort-CPS-23,Implementation and rollout of Contractor Personnel System (CPS).,17/06/2011,28/09/2011,28/09/2011,30/12/2011,0.0964,-93,-90.29,0.005877,6.1,0.0964,0.090523,27/02/2012,13:46:59,324601,,,,,
012-000003225,116,12,Department of Labor,OASAM - HSPD-12,97,,"Identity Asset Management (IAM) Development and Modernization Effort-Integration, Development, Testing-24","Development, testing and implementation of core application - Tivoli Suite.",17/06/2011,30/09/2011,30/09/2011,30/12/2011,0.137,-91,-86.67,6.1E-5,0.04,0.1368,0.136739,27/02/2012,13:46:59,324701,,,,,
012-000002045,121,12,Department of Labor,ETA - Foreign Labor Certification Systems (FLCS),118,,DME -- H-2A Phase 1,"Integrate the H-2A case management system into the iCERT System in order to address regulatory changes, improve efficiency, reduce maintenance costs, and combat fraud and abuse.",01/10/2010,30/09/2011,30/09/2011,16/10/2012,0.66,-382,-104.95,-0.170561,-25.84,0.66,0.830561,15/03/2012,05:27:16,204501,,,,,
012-000002045,121,12,Department of Labor,ETA - Foreign Labor Certification Systems (FLCS),121,,DME -- iCERT Portal/LCA/PW Phase 2,Deliver additional integration-based functionality and process improvements for the LCA and Prevailing Wage case management systems based on user feedback.,03/01/2011,05/03/2012,07/12/2011,26/03/2012,1.04,-110,-32.54,0.350293,33.68,1.04,0.689707,11/08/2012,11:45:27,204504,,,,,
012-000002045,121,12,Department of Labor,ETA - Foreign Labor Certification Systems (FLCS),122,,Maintenance -- Database management system software upgrade,Upgrade the database management system software to the latest version.,06/06/2011,23/01/2012,23/01/2012,30/09/2012,0.02,-251,-108.66,-0.05,-250,0.02,0.07,11/08/2012,11:45:28,204505,,,,,
012-000002045,121,12,Department of Labor,ETA - Foreign Labor Certification Systems (FLCS),123,,Maintenance -- LCJR enhancements,"Enhance the iCERT System to provide the public access to all H-1B, H-2A, H-2B, and PERM labor certifications.",30/06/2011,30/09/2011,30/09/2011,28/09/2012,0.02,-364,-395.65,-0.03,-150,0.02,0.05,11/08/2012,11:45:28,204506,,,,,
012-000002045,121,12,Department of Labor,ETA - Foreign Labor Certification Systems (FLCS),124,,Maintenance - LCA enhancements,Deliver minor enhancements for the LCA case management system.,03/10/2011,02/04/2012,02/04/2012,31/12/2012,0.03,-273,-150,-0.03,-100,0.03,0.06,11/08/2012,11:45:28,204507,,,,,
012-000002045,121,12,Department of Labor,ETA - Foreign Labor Certification Systems (FLCS),125,,Maintenance - Prevailing Wage enhancements,Deliver minor enhancements for the Prevailing Wage case management system.,03/10/2011,02/04/2012,02/04/2012,31/12/2012,0.03,-273,-150,-0.03,-100,0.03,0.06,11/08/2012,11:45:28,204508,,,,,
012-000001010,122,12,Department of Labor,ETA - Job Corps Student Pay Allotment Management Information System (SPAMIS),14,,MAINTENANCE - STORAGE AREA NETWORK UPGRADE,Add SAN disk storage to support OMB-mandated Data Center Consolidation Initiative.,01/10/2010,02/09/2012,02/09/2012,02/09/2012,0.962,0,0,0,0,0.962,0.962,13/03/2012,12:59:58,1010010000,,,,,
012-000001010,122,12,Department of Labor,ETA - Job Corps Student Pay Allotment Management Information System (SPAMIS),15,,MAINTENANCE - SWITCH/ROUTER UPGRADE PHASE III,"Replace the network switch/router infrastructure at 9 Job Corps Centers to improve performance, reduce power consumption and tighten security.",04/03/2011,30/12/2011,30/12/2011,30/12/2011,0.254,0,0,0,0,0.254,0.254,16/02/2012,13:47:47,1010020000,,,,,
012-000001010,122,12,Department of Labor,ETA - Job Corps Student Pay Allotment Management Information System (SPAMIS),16,,MAINTENANCE - STUDENT PC REFRESH,"Replace 4,700 out-of-date student PCs and monitors.",04/03/2011,24/02/2012,24/02/2012,24/02/2012,0.369,0,0,0,0,0.369,0.369,13/03/2012,12:59:58,1010030000,,,,,
012-000001010,122,12,Department of Labor,ETA - Job Corps Student Pay Allotment Management Information System (SPAMIS),17,,MAINTENANCE - SPAMIS MODULE UPGRADES FY12,Upgrade SPAMIS to improve performance and efficiency.,23/09/2011,22/09/2012,22/09/2012,22/09/2012,1.295,0,0,0,0,1.295,1.295,14/05/2012,05:35:16,1010040000,,,,,
012-000002085,123,12,Department of Labor,MSHA - MSHA Standardized Information System (MSIS),71,,FY11 Application Improvement Releases,FY11 MSIS Application Improvement Releases: Provide application fixes and enhancements for all MSIS functions and applications as requested by Program Area IT Coordinators.,01/06/2010,31/08/2011,31/08/2011,19/08/2011,3.769769,12,5.69,0.594829,36.45,1.631924,1.037095,12/07/2012,12:42:44,208501,,,,,
012-000002085,123,12,Department of Labor,MSHA - MSHA Standardized Information System (MSIS),72,,FY12 Application Improvement Releases,FY12 MSIS Application Improvement Releases: Provide application fixes and enhancements for all MSIS functions and applications as requested by Program Area IT coordinators. Implement enhancements and application changes recommended in the Upper Big Branch investigation final report.,01/07/2011,10/08/2012,10/08/2012,10/08/2012,4.743254,-21,-5.17,1.25768,26.52,4.743254,3.485574,12/07/2012,12:42:44,208502,,,,,
012-000002085,123,12,Department of Labor,MSHA - MSHA Standardized Information System (MSIS),74,,Samples System Conversion & Reengineering,FY09-FY12 - Samples System Conversion and Reengineering: Convert legacy COBOL Samples processing system and integrate into MSIS; redesign as a web-based application; migrate legacy data and integrate into enterprise database and data warehouse; integrate for flexibility in supporting proposed revised dust standard.,01/04/2009,29/02/2012,24/02/2012,30/03/2012,2.405086,-35,-14.71,0.099107,15.49,0.639683,0.540576,12/07/2012,12:42:44,208504,,,,,
012-000002085,123,12,Department of Labor,MSHA - MSHA Standardized Information System (MSIS),75,,Technical Support Services Integration,FY09-FY11 - Technical Support Services Integration: Reengineer the legacy Technical Support systems and integrate into MSIS.,01/05/2009,30/12/2011,30/12/2011,30/09/2011,1.735,91,50,0.089035,53.98,0.164943,0.075908,12/07/2012,12:42:44,208505,,,,,
012-000001015,125,12,Department of Labor,OCFO - DOL New Core Financial Management System (NCFMS),3003,,Remigration of Fixed Assets,Rewrite the asset migration code to accommodate an alternate non-standard depreciation method used in CATARS and recently discovered. Perform multiple mock re-migrations and perform production migration. Change Fixed Assets module to accommodate two different depreciation methods (one for migrated assets and another for new assets).,08/08/2011,08/03/2012,08/03/2012,31/08/2012,0.122891,-176,-82.63,0.007309,5.95,0.122891,0.115582,11/08/2012,11:45:28,11898,,,,,
012-000001015,125,12,Department of Labor,OCFO - DOL New Core Financial Management System (NCFMS),3004,,GL Data Assessment and Cleanup,"Review and correct existing data in the system. Provide automate continuous monitoring of the data to ensure consistency. Cleanup plan,  expand  control reports, automate alerts.",02/04/2012,25/09/2012,25/09/2012,28/09/2012,519999,-3,-1.7,0,0,0.519999,0.519999,12/06/2012,10:58:33,11928,,,,,
012-000001015,125,12,Department of Labor,OCFO - DOL New Core Financial Management System (NCFMS),3005,,Relink Contracts,Relink the contracts between EPS and NCFMS that are currently disconnected (not integrated) and recorded in NCFMS as a miscellaneous obligation (document type 19).,31/10/2011,15/03/2012,15/03/2012,17/02/2012,0.294937,27,19.85,0,0,0.294937,0.294937,14/03/2012,09:35:19,11933,,,,,
012-000001015,125,12,Department of Labor,OCFO - DOL New Core Financial Management System (NCFMS),3007,,Completion of Normalization Activities (Phase 5 Closeout),Complete and closeout implementation phase by completion of normalization items.,19/12/2011,22/03/2012,22/03/2012,31/08/2012,0.251938,-162,-172.34,0,0,0.251938,0.251938,11/08/2012,11:45:28,123366,,,,,
012-000001015,125,12,Department of Labor,OCFO - DOL New Core Financial Management System (NCFMS),3013,,Enhance Pcard Module,"Improve Pcard module usability. Provide ability to reconcile across fiscal years, provide ability to handle credits.",03/01/2012,09/07/2012,09/07/2012,01/08/2012,0.335911,-53,-28.19,0,0,0.335911,0.335911,11/08/2012,11:45:28,12996,,,,,
012-000000001,126,12,Department of Labor,ODEP - Disability.gov,98,,Public Outreach & Awareness,"Expand partnership collaboration to improve awareness & participation, ensure quality resources, and lower costs; expand collaboration with citizens by gathering feedback, enhancing participation, and providing customer service.",03/10/2011,28/09/2012,28/09/2012,28/09/2012,1.0153,0,0,0,0,1.0153,1.0153,13/04/2012,07:38:50,101,,,,,
012-000000001,126,12,Department of Labor,ODEP - Disability.gov,99,,Maintenance,"Maintain Disability.gov including security testing, reporting & updates, so that disability-related information, programs, and other resources are available to the widest audience when needed.",03/10/2011,28/09/2012,28/09/2012,28/09/2012,0.7807,0,0,0,0,0.7807,0.7807,13/04/2012,07:38:50,102,,,,,
012-000000001,126,12,Department of Labor,ODEP - Disability.gov,100,,Cloud Migration,Finalize migration from current dedicated infrastructure platform to a cloud infrastructure hosting services platform.,03/10/2011,28/09/2012,30/12/2011,30/12/2011,0.05,0,0,0,0,0.05,0.05,16/02/2012,13:48:16,103,,,,,
012-000002005,127,12,Department of Labor,OPA - Enterprise Communications Initiative,103,,DOL Events Management Platform,"Provide the ability utilize the DOL Events Calendar on multiple platforms including mobile devices, web and others.",19/01/2011,21/10/2011,21/10/2011,15/12/2011,0.33,-55,-20,0.108901,51.37,0.211988,0.103087,14/03/2012,08:09:17,2005020000,,,,,
012-000002005,127,12,Department of Labor,OPA - Enterprise Communications Initiative,103,,DOL Events Management Platform,"Provide the ability utilize the DOL Events Calendar on multiple platforms including mobile devices, web and others.",19/01/2011,21/10/2011,21/10/2011,15/12/2011,0.33,-55,-20,0.108901,51.37,0.211988,0.103087,14/03/2012,08:09:17,2005020000,,,,,
012-000002005,127,12,Department of Labor,OPA - Enterprise Communications Initiative,105,,Feedback Script,Provide an on-screen feedback form for users to tell us if the content on a page on DOL.Gov or LaborNet was helpful to them.,21/01/2011,03/10/2011,03/10/2011,21/10/2011,0.0971,-18,-7.06,0.002105,2.17,0.0971,0.094995,21/02/2012,10:34:57,2005040000,,,,,
012-000002005,127,12,Department of Labor,OPA - Enterprise Communications Initiative,106,,DOL Numbers Mobile App,Provide major economic indicators and statistics though a mobile application.,25/07/2011,30/09/2011,30/09/2011,11/11/2011,0.08507,-42,-62.69,0.028851,33.91,0.08507,0.056219,21/02/2012,10:34:57,2005050000,,,,,
012-000002005,127,12,Department of Labor,OPA - Enterprise Communications Initiative,109,,Backup software upgrade,Backup software upgrade.,01/07/2011,30/12/2011,30/12/2011,05/06/2012,0.033184,-158,-86.81,0,0,0.013936,0.013936,12/06/2012,10:58:33,2005080000,,,,,
012-000002005,127,12,Department of Labor,OPA - Enterprise Communications Initiative,110,,Web Application security scanner,Procure a Web Application security scanner.,01/07/2011,30/12/2011,30/12/2011,06/10/2011,0.007,85,46.7,7.4E-4,10.57,0.007,0.00626,21/02/2012,10:34:57,2005090000,,,,,
012-000002005,127,12,Department of Labor,OPA - Enterprise Communications Initiative,2916,,ITIL - OTRS implementation,ITIL - Open-source Ticket Request System (OTRS) implementation.,31/08/2011,17/03/2012,17/03/2012,24/05/2012,0.018643,-68,-34.17,-0.016269,-87.27,0.018643,0.034912,12/06/2012,10:58:33,2005110000,,,,,
012-000002005,127,12,Department of Labor,OPA - Enterprise Communications Initiative,2917,,Standards for Applications,"The Standards for Applications (SFA, also known as Public Interfaces Template) project will establish a guidelines and standards for LaborNet and DOL.gov public interface design for all Teams to follow.  look and feel for LaborNet, DOL.gov and Mobile applications while incorporating usability and accessibility best practices.",17/10/2011,31/01/2012,31/01/2012,17/02/2012,0.063317,-17,-16.04,0.016159,25.52,0.063317,0.047158,14/03/2012,08:09:17,2005120000,,,,,
012-999990020,130,12,Department of Labor,OASAM - Benefits.gov,79,,FY 2012 Solution Improvements Project (Goal 2: Improve User Experience),"Address Improvements and changes to improve user experience. Identify, design, implement, and test updates to the solution and its components.",01/10/2011,30/09/2012,30/09/2012,30/09/2012,0.41,0,0,0,0,0.407,0.407,21/08/2012,06:23:33,20020000,,,,,
012-000002015,132,12,Department of Labor,OWCP - Integrated Federal Employees' Compensation System (iFECS),113,,ECOMP,Development of the iFECS ECOMP enhancement.,15/06/2010,28/10/2011,29/09/2010,25/11/2011,2.486,-422,-1029.27,0.015206,13.65,0.111375,0.096169,14/12/2011,13:13:44,201501,,,,,
012-000002015,132,12,Department of Labor,OWCP - Integrated Federal Employees' Compensation System (iFECS),114,,3CI,Centralize Case Create and Imaging Operations.,09/04/2010,23/11/2011,30/09/2010,04/10/2011,0.18,-369,-212.07,-0.124098,-199.14,0.062318,0.186416,15/11/2011,12:13:03,201502,,,,,
012-000002015,132,12,Department of Labor,OWCP - Integrated Federal Employees' Compensation System (iFECS),115,,Maintenance,iFECS Maintenance release activities.,30/09/2011,30/09/2012,30/09/2012,24/09/2012,7.0438,6,1.64,0.072,1.02,7.0438,6.9718,11/08/2012,11:45:29,201503,,,,,
012-000002265,183,12,Department of Labor,OWCP - Energy Compensation System,111,,ECS Deployment,Deliver ECS Release 1.0 to Software Assurance Team and Initial release of ECS to replace the legacy ECMS system.,22/09/2011,31/12/2011,31/12/2011,13/01/2012,0.928,-13,-13,-0.156819,-16.9,0.928,1.084819,22/02/2012,14:32:22,226501,,,,,
012-000002265,183,12,Department of Labor,OWCP - Energy Compensation System,112,,ECS Maintenance Releases,Releases for bug fixes and additional functionality for the new ECS system.,01/10/2011,28/09/2012,28/09/2012,28/09/2012,1.81809,0,0,-0.35061,-19.28,1.81809,2.1687,11/08/2012,11:45:29,226502,,,,,
012-000001055,278,12,Department of Labor,BLS - Consumer Price Index (CPI) Maintenance,1376,,Maintenance - CADC Data Synchronization,Complete testing and deployment of upgrade to CPI Housing survey portion of the CADC subsystem to leverage COTS product for data synchronization.,03/10/2011,29/02/2012,29/02/2012,29/02/2012,0.515,0,0,0.215,41.75,0.515,0.3,13/03/2012,12:00:25,105501,,,,,
012-000001055,278,12,Department of Labor,BLS - Consumer Price Index (CPI) Maintenance,1377,,Maintenance - C&amp;S Database Migration Testing,Testing phase for upgrade of CPI C&amp;S subsystem database that supports CPI program's effort to align with Agency target architecture.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,1.028,0,0,0.283,27.53,1.028,0.745,12/06/2012,10:58:31,105502,,,,,
012-000001055,278,12,Department of Labor,BLS - Consumer Price Index (CPI) Maintenance,1379,,Maintenance - CPI Estimation Subsystem Release 3 Update,Complete analysis through integration testing.  Deliver Release 3 updates for CPI Estimation subsystem acceptance testing to build flexibility and accuracy through consolidation of functions into fewer modules/processes.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,2571000,0,0,0.387,15.05,2.571,2.184,12/06/2012,10:58:31,105504,,,,,
012-000003595,844,12,Department of Labor,DOL - IT Infrastructure Modernization (DITIM),233,,IT Modernization Change Management Planning,The development and execution of change management and communication activities to support DOL stakeholders through implementation of IT Modernization initiatives.,30/09/2010,15/12/2011,15/12/2011,16/12/2011,2.010908,-1,-0.39,0.002,0.36,0.55,0.548,13/04/2012,07:38:26,359401,,,,,
012-000003595,844,12,Department of Labor,DOL - IT Infrastructure Modernization (DITIM),234,,IT Modernization Enterprise Architecture,"The development of target Enterprise Archetecture to suit IT Infrastructure modernization. Includes determining the IT Infrastructure transition , sequencing, and execution strategies which will guide DOL to the future state architecture.",01/10/2010,30/09/2011,30/09/2011,30/09/2011,1.598,0,0,0,0,0.2,0.2,23/02/2012,07:04:59,359402,,,,,
012-000003595,844,12,Department of Labor,DOL - IT Infrastructure Modernization (DITIM),236,,Manage Trusted Internet Protocol Services (MTIPS),The MTIPS Project is an OMB-mandated initiative to reduce the risk of external exposure to security hazards that can be applied to DOL Internet traffic. OMB mandated in 2007 that all Executive Departments and related agencies needed to implement measures to reduce the number of external Internet connections to as few as possible and after MTIPS is in place in FY2012. The MTIPS project will put in place one infrastructure for DOL and this single infrastructure will include security services.,15/03/2010,30/09/2012,28/09/2012,30/09/2012,1,-2,-0.44,-0.045173,-5.02,0.9,0.945173,12/07/2012,12:42:44,359404,,,,,
012-000003595,844,12,Department of Labor,DOL - IT Infrastructure Modernization (DITIM),238,,Email as a Service (EaaS),The planning and implementation of a cloud email services throughout DOL.,01/05/2011,30/09/2012,28/09/2012,30/09/2013,6,-367,-80.66,0,0,4.35,4.35,13/08/2012,07:12:24,359406,,,,,
012-000003615,1047,12,Department of Labor,OWCP - OWCP Workers' Compensation System,117,,Initial Planning for OWCS,Initial planning stage of SDLCM including document creation and staffing for requirements.,09/07/2012,28/09/2012,28/09/2012,28/09/2012,0.005,0,0,0,0,0.005,0.005,11/08/2012,11:45:29,361501,,,,,
014-000000012,718,14,Department of State,A-LM - Integrated Logistics Management System,1537,,Fleet Management Information System,"Build, test and pilot ILMS module to support motorpool operations world-wide with one standardized web-based solution to manage the Department's global fleet including vehicle registration, employee management, dispatch, maintenance, fuel, and reporting and querying.",01/10/2009,30/09/2012,30/09/2012,30/12/2011,3.289,275,37.67,-0.31682,-14.08,2.25,2.56682,30/03/2012,10:48:50,10,,,,,
014-000000012,718,14,Department of State,A-LM - Integrated Logistics Management System,1539,,Expendables,"Build, test and pilot ILMS module for all Expendables orders. The module replaces the current WebPass Expendables module and builds required integration with Ariba for all Expendables orders.",01/10/2010,28/09/2012,28/09/2012,30/03/2012,1.45,28,7.76,-0.067912,-27.16,0.25,0.317912,30/05/2012,05:37:38,24,,,,,
014-000000014,730,14,Department of State,Travel Manager Program,1674,,e-Gov Travel Service (ETS1) DME,The purpose of this project is to migrate DoS to a GSA approved e-Gov Travel provider and ehance e2 Solutions to address Department of State specific business requirements.,01/10/2009,30/09/2011,30/09/2011,31/05/2012,5.624,-336,-92.31,-0.581029,-21.33,2.7235,3.304529,31/08/2012,09:21:19,3,,,,,
014-000000014,730,14,Department of State,Travel Manager Program,1675,,Contingency to support the e-Gov Travel Service II (ETS2) initiative,The purpose of this activity is to conduct the due diligence necessary to determine whether any ETS2 service providers meet the Department's travel requirements under this government-wide initiative managed by GSA.,01/01/2011,30/09/2011,30/09/2011,30/09/2011,0.194,0,0,0.110295,57.04,0.193375,0.08308,31/08/2012,09:21:19,4,,,,,
